Date,Afghanistan,Albania,Algeria
1996-04-30,285.0599974974975,283.7739158163265,213.758892053754
1996-05-31,289.5359109109109,289.665357940051,217.6107946245983
1996-06-30,295.7633258258258,293.5899633290816,219.2674189307625
1996-07-31,297.09878628628627,294.8703164859694,221.32403958515923
1996-08-31,295.97735235235234,295.1320950255102,221.88226701723636
1996-09-30,293.6051676676677,288.90308115433675,219.01601300029213
1996-10-31,284.72954204204206,286.15617028061223,214.05563467718372
1996-11-30,276.5832394894895,283.2524912308673,209.85747151621385
1996-12-31,273.9908658658659,279.1098333864796,207.60305287759277
1997-01-31,272.16785535535536,278.8488919005102,207.16883946830265
1997-02-28,271.5892767767768,278.7368263711735,208.0429265264388
1997-03-31,277.6980105105105,280.46795280612247,209.72911189015483
1997-04-30,284.2052364864865,280.3303571428572,213.0977030382705
1997-05-31,289.24024024024027,289.4346699617347,217.75540461583407
1997-06-30,295.7586961961962,293.8725286989796,221.52112547472976
1997-07-31,298.87656406406404,294.7975924744898,222.1591988022203
1997-08-31,296.6921921921922,293.8832110969388,221.2483932223196
1997-09-30,292.4003378378378,292.1585618622449,218.74065147531405
1997-10-31,286.4027464964965,285.1285076530612,215.05437481741163
1997-11-30,278.0051301301301,282.7897401147959,210.4715162138475
1997-12-31,272.7814376876877,278.67446588010205,207.040041630149
1998-01-31,271.07144644644643,278.5448620854592,206.58413672217355
1998-02-28,272.49139764764766,279.6273118622449,208.61426380368096
1998-03-31,278.2698323323323,278.71484375,209.77225752264096
1998-04-30,286.9090027527528,285.1074019451531,215.54208661992405
1998-05-31,291.08918293293294,288.73764349489795,217.2564271107216
1998-06-30,294.345970970971,293.6865433673469,220.77932369266725
1998-07-31,298.2461211211211,296.2310467155612,222.0799006719252
1998-08-31,296.9564251751752,297.08930564413265,221.6954425942156
1998-09-30,292.72622622622623,291.0417729591837,220.1821136430032
1998-10-31,286.2445570570571,287.75362723214283,214.46008618171197
1998-11-30,281.16747997998,281.0303730867347,209.28487437919952
1998-12-31,278.58292667667666,275.30112005739795,206.037540169442
1999-01-31,272.641016016016,277.09283322704084,205.8106375985977
1999-02-28,275.603978978979,275.87408322704084,206.12784837861523
1999-03-31,278.3295482982983,280.6922233737245,211.0432551855098
1999-04-30,285.50728853853855,284.53621253188777,215.3344653812445
1999-05-31,291.12315440440443,290.22921316964283,219.03341367221736
1999-06-30,296.2565690690691,293.69760443239795,221.4673531989483
1999-07-31,297.5194256756757,295.4488600127551,222.15247955010224
1999-08-31,296.8829767267267,296.48501275510205,222.2525562372188
1999-09-30,292.7366428928929,292.56361607142856,220.22810765410455
1999-10-31,286.73661161161164,288.2438815369898,216.24160093485247
1999-11-30,278.81325075075074,282.5874720982143,209.9934085597429
1999-12-31,274.8434684684685,279.6440330038265,205.96140081799592
2000-01-31,272.4500437937938,272.9382573341837,205.2288197487584
2000-02-29,271.45245245245246,277.5752152423469,207.03797838153667
2000-03-31,278.2044857357357,279.37308673469386,211.34830557990068
2000-04-30,288.9159159159159,286.0981345663265,215.50912941863865
2000-05-31,295.355980980981,290.444993622449,218.63854805725973
2000-06-30,295.79851726726724,293.9493383290816,220.00306748466255
2000-07-31,297.171483983984,295.19614955357144,221.8588226701724
2000-08-31,296.6158658658659,296.2580117984694,220.94390885188432
2000-09-30,292.8213213213213,291.2417490433673,219.0891396435875
2000-10-31,286.34766016016016,287.91476004464283,214.01800321355535
2000-11-30,277.6432682682683,284.70689174107144,210.4800065731814
2000-12-31,274.5492054554555,279.5121771364796,207.57915205959685
2001-01-31,270.85857732732734,279.4249641262755,206.45015337423317
2001-02-28,273.8769394394394,278.7418287627551,207.2511320479112
2001-03-31,280.1197447447448,284.0112802933673,213.30954206836108
2001-04-30,288.5180805805806,283.6086575255102,213.73838737949168
2001-05-31,295.0368806306306,290.04073660714283,217.6264241893076
2001-06-30,297.4095658158158,292.23511240433675,221.08483055799007
2001-07-31,298.4059371871872,295.69224330357144,222.34038124452235
2001-08-31,296.66272522522524,296.7934869260204,221.57511685655857
2001-09-30,292.03006131131133,290.4665377869898,220.293200408998
2001-10-31,287.14846096096096,288.4436583227041,216.37881609699093
2001-11-30,280.80183308308307,281.28121014030614,210.58092316681277
2001-12-31,276.36833708708707,273.5528340242347,207.20778556821503
2002-01-31,273.08646146146145,275.3162866709184,205.7225752264096
2002-02-28,274.5451701701702,280.65328045280614,208.14886430032132
2002-03-31,281.2770895895896,282.7486647002551,211.7716732398481
2002-04-30,286.9700325325325,284.5998086734694,214.15726336546888
2002-05-31,292.50056306306305,289.4150589923469,218.24244084136723
2002-06-30,296.54926801801804,293.9883808992347,220.7981302950628
2002-07-31,297.24962462462463,295.74908322704084,222.6764168857727
2002-08-31,297.6092967967968,294.0386639030612,222.04666958808065
2002-09-30,291.8048048048048,289.6243223852041,219.6276475314052
2002-10-31,287.8629567067067,286.5765904017857,214.70888109845168
2002-11-30,280.2292917917918,283.54683514030614,210.33598086473853
2002-12-31,273.0917167167167,279.0295161033163,208.03565950920245
2003-01-31,274.029029029029,278.5620416135204,206.4896654981011
2003-02-28,275.18487237237235,273.7279177295918,207.29047984224368
2003-03-31,279.05252127127125,279.73748405612247,210.865779287175
2003-04-30,286.5278716216216,283.1447504783163,214.63299737072745
2003-05-31,289.1448636136136,291.6697026466837,218.23937335670465
2003-06-30,295.57044544544544,295.7988480548469,220.88248612328368
2003-07-31,299.20683183183183,296.6639429209184,222.7127702307917
2003-08-31,296.876783033033,297.4699856505102,221.29047984224368
